node_index,y_m
0,0.000000
1,0.183333
2,0.366667
3,0.550000
4,0.650000
5,0.750000
6,0.850000
7,0.950000
8,1.050000
9,1.150000
10,1.250000
11,1.350000
12,1.450000
13,1.550000
14,1.612500
15,1.650000
16,1.737500
17,1.800000
18,1.850000
19,1.925000
20,1.987500
21,2.050000
22,2.150000
23,2.250000
24,2.350000
25,2.450000
26,2.550000
27,2.650000
28,2.750000
29,2.812500
30,2.850000
31,2.937500
32,3.000000
33,3.050000
34,3.125000
35,3.186364
36,3.245455
37,3.304545
38,3.350000
39,3.422727
40,3.481818
41,3.540909
42,3.600000
43,3.650000
44,3.718182
45,3.750000
46,3.836364
47,3.895455
48,3.950000
49,4.012500
50,4.050000
51,4.131818
52,4.190909
53,4.250000
54,4.290000
55,4.325000
56,4.387500
57,4.450000
58,4.490000
59,4.590000
60,4.690000
61,4.790000
62,4.890000
63,4.990000
64,5.090000
65,5.150000
66,5.190000
67,5.275000
68,5.337500
69,5.390000
70,5.462500
71,5.525000
72,5.587500
73,5.650000
74,5.690000
75,5.790000
76,5.890000
77,5.990000
78,6.090000
79,6.190000
80,6.290000
81,6.350000
82,6.390000
83,6.475000
84,6.537500
85,6.590000
86,6.662500
87,6.725000
88,6.787500
89,6.850000
90,6.890000
91,6.990000
92,7.090000
93,7.190000
94,7.290000
95,7.390000
96,7.490000
97,7.550000
98,7.590000
99,7.675000
100,7.737500
101,7.790000
102,7.862500
103,7.925000
104,7.986364
105,8.030000
106,8.104545
107,8.163636
108,8.222727
109,8.281818
110,8.321892
111,8.400000
112,8.459091
113,8.516486
114,8.577273
115,8.613784
116,8.695455
117,8.750000
118,8.808378
119,8.872727
120,8.905676
121,8.937500
122,8.990909
123,9.050000
124,9.100270
125,9.187500
126,9.250000
127,9.294865
128,9.392162
129,9.489459
130,9.586757
131,9.684054
132,9.781351
133,9.878649
134,9.950000
135,10.012500
136,10.073243
137,10.137500
138,10.170541
139,10.262500
140,10.325000
141,10.365135
142,10.450000
143,10.559730
144,10.657027
145,10.754324
146,10.851622
147,10.948919
148,11.046216
149,11.143514
150,11.212500
151,11.275000
152,11.337500
153,11.400000
154,11.435405
155,11.525000
156,11.587500
157,11.630000
158,11.770000
159,11.867297
160,11.964595
161,12.061892
162,12.159189
163,12.256486
164,12.350000
165,12.412500
166,12.451081
167,12.537500
168,12.600000
169,12.645676
170,12.725000
171,12.786364
172,12.840270
173,12.904545
174,12.937568
175,13.022727
176,13.081818
177,13.132162
178,13.200000
179,13.259091
180,13.318182
181,13.377273
182,13.424054
183,13.495455
184,13.550000
185,13.612500
186,13.672727
187,13.715946
188,13.790909
189,13.850000
190,13.910541
191,13.987500
192,14.050000
193,14.105135
194,14.202432
195,14.299730
196,14.397027
197,14.494324
198,14.591622
199,14.688919
200,14.750000
201,14.786216
202,14.875000
203,14.937500
204,14.980811
205,15.062500
206,15.125000
207,15.175405
208,15.250000
209,15.370000
210,15.510000
211,15.607297
212,15.704595
213,15.801892
214,15.899189
215,15.950000
216,15.996486
217,16.075000
218,16.137500
219,16.191081
220,16.262500
221,16.325000
222,16.385676
223,16.450000
224,16.482973
225,16.580270
226,16.677568
227,16.774865
228,16.872162
229,16.969459
230,17.066757
231,17.150000
232,17.212500
233,17.261351
234,17.337500
235,17.400000
236,17.455946
237,17.525000
238,17.586364
239,17.645455
240,17.704545
241,17.747838
242,17.822727
243,17.881818
244,17.940909
245,18.000000
246,18.039730
247,18.118182
248,18.177273
249,18.234324
250,18.295455
251,18.331622
252,18.412500
253,18.472727
254,18.526216
255,18.590909
256,18.623514
257,18.662500
258,18.720811
259,18.787500
260,18.818108
261,18.850000
262,18.915405
263,19.012703
264,19.110000
265,19.330000
266,19.550000
267,19.612500
268,19.675000
269,19.737500
270,19.800000
271,19.862500
272,19.925000
273,19.987500
274,20.050000
275,20.283333
276,20.516667
277,20.750000
278,20.812500
279,20.875000
280,20.937500
281,21.000000
282,21.062500
283,21.125000
284,21.187500
285,21.250000
286,21.483333
287,21.716667
288,21.950000
289,22.012500
290,22.075000
291,22.137500
292,22.200000
293,22.262500
294,22.325000
295,22.387500
296,22.447619
297,22.507143
298,22.566667
299,22.626190
300,22.685714
301,22.745238
302,22.804762
303,22.864286
304,22.923810
305,22.983333
306,23.042857
307,23.102381
308,23.161905
309,23.221429
310,23.280952
311,23.340476
312,23.400000
