node_index,z_m
0,-0.600000
1,-0.550000
2,-0.500000
3,-0.462500
4,-0.400000
5,-0.350000
6,-0.325000
7,-0.300000
8,-0.256250
9,-0.200000
10,-0.160299
11,-0.120597
12,-0.100000
13,-0.066667
14,-0.041194
15,-0.001493
16,0.022222
17,0.050000
18,0.077910
19,0.111111
20,0.155556
21,0.197015
22,0.236716
23,0.276418
24,0.316119
25,0.355821
26,0.395522
27,0.435224
28,0.474925
29,0.514627
30,0.554328
31,0.594030
32,0.633731
33,0.673433
34,0.713134
35,0.752836
36,0.792537
37,0.832239
38,0.871940
39,0.911642
40,0.951343
41,0.991045
42,1.030746
43,1.070448
44,1.110149
45,1.149851
46,1.189552
47,1.229254
48,1.268955
49,1.308657
50,1.348358
51,1.388060
52,1.427761
53,1.467463
54,1.507164
55,1.546866
56,1.586567
57,1.626269
58,1.665970
59,1.705672
60,1.745373
61,1.785075
62,1.824776
63,1.864478
64,1.904179
65,1.943881
66,1.983582
67,2.023284
68,2.050000
69,2.100000
70,2.142388
71,2.182090
72,2.221791
73,2.250000
74,2.300000
75,2.340896
76,2.380597
77,2.420299
78,2.450000
79,2.500000
80,2.550000
81,2.600000
82,2.650000
83,2.700000
84,2.750000
85,2.800000
86,2.850000
87,2.900000
88,2.950000
89,3.000000
90,3.050000
91,3.100000
92,3.150000
93,3.180000
94,3.200000
95,3.250000
96,3.286364
97,3.331579
98,3.354545
99,3.400000
100,3.422727
101,3.445263
102,3.483158
103,3.521053
104,3.550000
105,3.596842
106,3.627273
107,3.650000
108,3.672632
109,3.695455
110,3.748421
111,3.786316
112,3.824211
113,3.850000
114,3.900000
